Property_ID,Property Type,Bedrooms,Bathrooms,Area,Price,Location,District,Agency_Name
F454234640,شقة,3,3.0,1522.0,530000.0,غرب,الحزم,شركة نجمة التميز للعقارات
D174760725,عمارة,4,3.0,1372.0,680000.0,شرق,السعادة,شركة رحابة العقارية
N870116651,شقة,3,3.0,3602.0,65000.0,شرق,قرطبة,مكتب عبدالله بن فيحان بن محمد العتيبي للعقارات
V626679123,فیلا,8,5.0,3752.0,1250000.0,جنوب,الدار البيضاء,مسكنكم للخدمات العقارية
X835130619,دور,3,3.0,1942.0,1100000.0,شرق,الخليج,مسكنكم للخدمات العقارية
C265882765,شقة,3,3.0,1402.0,1420000.0,غرب,عرقة,شركة دياري للتطوير العقاري
M829436455,دور,3,3.0,5002.0,860000.0,غرب,شبرا,شركة نجمة التميز للعقارات
L536271756,شقة,3,4.0,1242.0,765000.0,شرق,القادسية,سكن المعالي للعقارات
G744104276,شقة,3,3.0,1312.0,420000.0,جنوب,الدار البيضاء,شركة نجمة التميز للعقارات
V634968378,دور,5,4.0,1962.0,1080000.0,شرق,الرمال,مسكنكم للخدمات العقارية
Q386219271,دور,2,2.0,1932.0,769999.0,جنوب,الشفا,شركة مدى الاعصار العقارية
P766932871,شقة,3,3.0,1262.0,950000.0,شمال,الملقا,مكتب شريط للعقارات
C369197703,شقة,3,3.0,1232.0,630000.0,غرب,ظهرة لبن,شركة بنائات العقارية
C829436455,دور,3,3.0,5002.0,860000.0,غرب,شبرا,شركة نجمة التميز للعقارات
X565851689,دور,3,3.0,5002.0,800000.0,غرب,شبرا,شركة نجمة التميز للعقارات
U557985808,دور,4,4.0,2142.0,760000.0,جنوب,بدر,شركة نجمة التميز للعقارات
A952751472,دور,3,3.0,5002.0,800000.0,غرب,شبرا,شركة نجمة التميز للعقارات
Q892210637,شقة,3,2.0,932.0,6500000.0,شمال,العليا,صلة العقارية
B878460946,دور,8,6.0,2502.0,860000.0,غرب,شبرا,شركة نجمة التميز للعقارات
E526674161,فیلا,3,4.0,3602.0,1680000.0,شرق,المونسية,شركة مباشر للعقارات للتسويق العقاري
D345542154,شقة,3,3.0,1402.0,1200000.0,شمال,الربيع,مكتب ركن المؤشر للعقارات
X917525072,فیلا,5,1.0,6152.0,5800000.0,شمال,العقيق,مكتب زيد جندل زيد الجندل للعقارات
C449034362,دور,5,3.0,1872.0,630000.0,جنوب,بدر,شركة حلول دارك العقارية
E837692382,دور,4,5.0,1992.0,900000.0,شرق,القادسية,سكن المعالي للعقارات
O412344465,دور,4,5.0,2222.0,1150000.0,شرق,القادسية,سكن المعالي للعقارات
A450630225,شقة,5,3.0,1242.0,550000.0,غرب,الحزم,مكتب عبدالرحمن عبدالله الهويمل للعقارات
A444901493,شقة,3,3.0,1352.0,1000000.0,شرق,قرطبة,مكتب آعالي للخدمات العقارية
W452425177,شقة,4,3.0,91002.0,705536.0,شرق,المونسية,مؤسسة منازل رائدة العقارية
W156497679,شقة,3,3.0,1312.0,400000.0,جنوب,الدار البيضاء,شركة نجمة التميز للعقارات
W704836619,دور,6,2.0,3002.0,1160000.0,شرق,الجنادرية,شركة قمة الوطن العقارية
S899256299,دور,3,3.0,5002.0,860000.0,غرب,الزهرة,شركة نجمة التميز للعقارات
O715245325,شقة,3,3.0,1362.0,790000.0,غرب,المهدية,شركة بنائات العقارية
R850549264,شقة,3,3.0,1772.0,450000.0,جنوب,بدر,شركة نجمة التميز للعقارات
D666336316,فیلا,5,8.0,3822.0,6000000.0,شمال,السليمانية,مكتب ركن الافق للعقارات
H689471085,شقة,3,3.0,1312.0,430000.0,جنوب,بدر,شركة نجمة التميز للعقارات
S819538263,شقة,3,3.0,1402.0,950000.0,شمال,العارض,مؤسسة حلول الرياض للخدمات العقارية
F788880448,شقة,3,3.0,1322.0,999000.0,شرق,الروضة,شركة رؤية التسويق العقاري
G402209423,فیلا,5,4.0,3192.0,1150000.0,شرق,الرمال,مؤسسة بصمة الانجاز للخدمات العقارية
S882591894,شقة,3,3.0,1462.0,1079000.0,شرق,الروضة,شركة رؤية التسويق العقاري
T839834296,فیلا,8,5.0,2782.0,970000.0,جنوب,طيبة,مكتب العقد الذهبي للعقارات
P876087626,دور,4,3.0,2502.0,860000.0,غرب,شبرا,شركة نجمة التميز للعقارات
A940246066,دور,4,3.0,5002.0,860000.0,غرب,شبرا,شركة نجمة التميز للعقارات
L890011961,دور,3,3.0,1452.0,550000.0,جنوب,الدار البيضاء,شركة غيوم نجد للخدمات العقارية
J028136760,فیلا,10,5.0,2682.0,2800000.0,شمال,النرجس,مؤسسة الحوراء للخدمات العقارية
X970177610,فیلا,9,7.0,6002.0,6300000.0,شمال,النرجس,مكتب عبدالله البراك للعقارات
Q124606927,شقة,3,4.0,1592.0,790000.0,شرق,القادسية,سكن المعالي للعقارات
A308173109,شقة,4,3.0,1402.0,905000.0,شرق,القادسية,سكن المعالي للعقارات
Y437201426,دور,5,4.0,2052.0,750000.0,شرق,الجنادرية,سكن المعالي للعقارات
Z584436597,دور,4,5.0,3052.0,1450000.0,شرق,القادسية,سكن المعالي للعقارات
E616539307,شقة,4,3.0,1402.0,770000.0,شرق,القادسية,سكن المعالي للعقارات
B218814020,دور,3,3.0,5502.0,1250000.0,شمال,العارض,شركة قصر الرقي العقارية
Q544486555,دور,3,4.0,1552.0,1650000.0,شرق,قرطبة,الأول للشركة المحدودة
R127010331,فیلا,5,5.0,2752.0,4200000.0,شمال,الياسمين,شركة قصر الرقي العقارية
